index,strategy,exit,entry_date,expiry,split,pnl_inr,mc_ev,regime
NIFTY,Batman,expiry_settlement,2023-01-30,2023-02-02,validation,3569.9999999999986,18.75029216205774,low
NIFTY,Batman,15:00,2023-01-30,2023-02-02,validation,1496.2499999999986,18.75029216205774,low
NIFTY,Batman,15:10,2023-01-30,2023-02-02,validation,2639.9999999999986,18.75029216205774,low
NIFTY,Adaptive,expiry_settlement,2023-02-06,2023-02-09,validation,2340.0000000000546,59.95352307236083,low
NIFTY,Adaptive,15:00,2023-02-06,2023-02-09,validation,-18948.75,59.95352307236083,low
NIFTY,Adaptive,15:10,2023-02-06,2023-02-09,validation,-19443.75,59.95352307236083,low
NIFTY,Adaptive,expiry_settlement,2023-02-13,2023-02-16,validation,7571.249999999891,87.09924949609197,low
NIFTY,Adaptive,15:00,2023-02-13,2023-02-16,validation,-23767.5,87.09924949609197,low
NIFTY,Adaptive,15:10,2023-02-13,2023-02-16,validation,-21825.0,87.09924949609197,low
NIFTY,Adaptive,expiry_settlement,2023-02-20,2023-02-23,validation,-6390.0,90.2029861501456,low
NIFTY,Adaptive,15:00,2023-02-20,2023-02-23,validation,-6555.0,90.2029861501456,low
NIFTY,Adaptive,15:10,2023-02-20,2023-02-23,validation,-6547.5,90.2029861501456,low
NIFTY,Adaptive,expiry_settlement,2023-02-27,2023-03-02,validation,-7830.0,58.29621797372519,low
NIFTY,Adaptive,15:00,2023-02-27,2023-03-02,validation,-8002.5,58.29621797372519,low
NIFTY,Adaptive,15:10,2023-02-27,2023-03-02,validation,-7991.250000000001,58.29621797372519,low
NIFTY,Adaptive,expiry_settlement,2023-03-03,2023-03-09,validation,2523.749999999891,68.99245697590717,low
