"Date","Price","Open","High","Low","Vol.","Change %"
"03/18/2025","22,834.30","22,662.25","22,857.80","22,599.20","272.58M","1.45%"
"03/17/2025","22,508.75","22,353.15","22,577.00","22,353.15","251.10M","0.50%"
"03/13/2025","22,397.20","22,541.50","22,558.05","22,377.35","287.54M","-0.33%"
"03/12/2025","22,470.50","22,536.35","22,577.40","22,329.55","369.74M","-0.12%"
"03/11/2025","22,497.90","22,345.95","22,522.10","22,314.70","347.92M","0.17%"
"03/10/2025","22,460.30","22,521.85","22,676.75","22,429.05","293.86M","-0.41%"
"03/07/2025","22,552.50","22,508.65","22,633.80","22,464.75","289.77M","0.03%"
"03/06/2025","22,544.70","22,476.35","22,556.45","22,245.85","372.08M","0.93%"
"03/05/2025","22,337.30","22,073.05","22,394.90","22,067.80","305.94M","1.15%"
"03/04/2025","22,082.65","21,974.45","22,105.05","21,964.60","253.26M","-0.17%"
"03/03/2025","22,119.30","22,194.55","22,261.55","22,004.70","282.40M","-0.02%"
"02/28/2025","22,124.70","22,433.40","22,450.35","22,104.85","551.29M","-1.86%"
"02/27/2025","22,545.05","22,568.95","22,613.30","22,508.40","289.23M","-0.01%"
"02/25/2025","22,547.55","22,516.45","22,625.30","22,513.90","250.28M","-0.03%"
"02/24/2025","22,553.35","22,609.35","22,668.05","22,518.80","214.32M","-1.06%"
"02/21/2025","22,795.90","22,857.20","22,921.00","22,720.30","242.75M","-0.51%"
"02/20/2025","22,913.15","22,821.10","22,923.85","22,812.75","240.84M","-0.09%"
"02/19/2025","22,932.90","22,847.25","23,049.95","22,814.85","207.00M","-0.05%"
"02/18/2025","22,945.30","22,963.65","22,992.50","22,801.50","210.62M","-0.06%"
"02/17/2025","22,959.50","22,809.90","22,974.20","22,725.45","207.39M","0.13%"
"02/14/2025","22,929.25","23,096.45","23,133.70","22,774.85","254.48M","-0.44%"
"02/13/2025","23,031.40","23,055.75","23,235.50","22,992.20","265.71M","-0.06%"
"02/12/2025","23,045.25","23,050.80","23,144.70","22,798.35","279.66M","-0.12%"
"02/11/2025","23,071.80","23,383.55","23,390.05","22,986.65","267.97M","-1.32%"
"02/10/2025","23,381.60","23,543.80","23,568.60","23,316.30","234.20M","-0.76%"
"02/07/2025","23,559.95","23,649.50","23,694.50","23,443.20","368.09M","-0.18%"
"02/06/2025","23,603.35","23,761.95","23,773.55","23,556.25","306.98M","-0.39%"
"02/05/2025","23,696.30","23,801.75","23,807.30","23,680.45","267.01M","-0.18%"
"02/04/2025","23,739.25","23,509.90","23,762.75","23,423.15","376.74M","1.62%"
"02/03/2025","23,361.05","23,319.35","23,381.60","23,222.00","329.67M","-0.52%"
"02/01/2025","23,482.15","23,528.60","23,632.45","23,318.30","281.01M","-0.11%"
"01/31/2025","23,508.40","23,296.75","23,546.80","23,277.40","304.86M","1.11%"
"01/30/2025","23,249.50","23,169.50","23,322.05","23,139.20","361.93M","0.37%"
"01/29/2025","23,163.10","23,026.75","23,183.35","22,976.50","226.31M","0.90%"
"01/28/2025","22,957.25","22,960.45","23,137.95","22,857.65","361.87M","0.56%"
"01/27/2025","22,829.15","22,940.15","23,007.45","22,786.90","257.37M","-1.14%"
"01/24/2025","23,092.20","23,183.90","23,347.30","23,050.00","264.34M","-0.49%"
"01/23/2025","23,205.35","23,128.30","23,270.80","23,090.65","275.56M","0.22%"
"01/22/2025","23,155.35","23,099.15","23,169.55","22,981.30","275.95M","0.57%"
"01/21/2025","23,024.65","23,421.65","23,426.30","22,976.85","312.87M","-1.37%"
"01/20/2025","23,344.75","23,290.40","23,391.10","23,170.65","301.46M","0.61%"
"01/17/2025","23,203.20","23,277.10","23,292.10","23,100.35","272.95M","-0.47%"
"01/16/2025","23,311.80","23,377.25","23,391.65","23,272.05","299.42M","0.42%"
"01/15/2025","23,213.20","23,250.45","23,293.65","23,146.45","228.04M","0.16%"
"01/14/2025","23,176.05","23,165.90","23,264.95","23,134.15","311.24M","0.39%"
"01/13/2025","23,085.95","23,195.40","23,340.95","23,047.25","316.48M","-1.47%"
"01/10/2025","23,431.50","23,551.90","23,596.60","23,344.35","261.02M","-0.40%"
"01/09/2025","23,526.50","23,674.75","23,689.50","23,503.05","269.24M","-0.69%"
"01/08/2025","23,688.95","23,746.65","23,751.85","23,496.15","266.38M","-0.08%"
"01/07/2025","23,707.90","23,679.90","23,795.20","23,637.80","262.34M","0.39%"
"01/06/2025","23,616.05","24,045.80","24,089.95","23,551.90","278.06M","-1.62%"
"01/03/2025","24,004.75","24,196.40","24,196.45","23,976.00","312.28M","-0.76%"
"01/02/2025","24,188.65","23,783.00","24,226.70","23,751.55","283.20M","1.88%"
"01/01/2025","23,742.90","23,637.65","23,822.80","23,562.80","154.92M","0.41%"
"12/31/2024","23,644.80","23,560.60","23,689.85","23,460.45","193.63M","0.00%"
"12/30/2024","23,644.90","23,796.90","23,915.35","23,599.30","364.93M","-0.71%"
"12/27/2024","23,813.40","23,801.40","23,938.85","23,800.60","176.82M","0.27%"
"12/26/2024","23,750.20","23,775.80","23,854.50","23,653.60","177.68M","0.10%"
"12/24/2024","23,727.65","23,769.10","23,867.65","23,685.15","177.66M","-0.11%"
"12/23/2024","23,753.45","23,738.20","23,869.55","23,647.20","189.76M","0.70%"
"12/20/2024","23,587.50","23,960.70","24,065.80","23,537.35","442.71M","-1.52%"
"12/19/2024","23,951.70","23,877.15","24,004.90","23,870.30","271.13M","-1.02%"
"12/18/2024","24,198.85","24,297.95","24,394.45","24,149.85","235.35M","-0.56%"
"12/17/2024","24,336.00","24,584.80","24,624.10","24,303.45","264.88M","-1.35%"
"12/16/2024","24,668.25","24,753.40","24,781.25","24,601.75","187.55M","-0.40%"
"12/13/2024","24,768.30","24,498.35","24,792.30","24,180.80","310.08M","0.89%"
"12/12/2024","24,548.70","24,604.45","24,675.25","24,527.95","266.05M","-0.38%"
"12/11/2024","24,641.80","24,620.50","24,691.75","24,583.85","187.25M","0.13%"
"12/10/2024","24,610.05","24,652.65","24,677.80","24,510.65","261.05M","-0.04%"
"12/09/2024","24,619.00","24,633.90","24,705.00","24,580.05","248.14M","-0.24%"
"12/06/2024","24,677.80","24,729.45","24,751.05","24,620.50","226.73M","-0.12%"
"12/05/2024","24,708.40","24,539.15","24,857.75","24,295.55","361.47M","0.98%"
"12/04/2024","24,467.45","24,488.75","24,573.20","24,366.30","348.00M","0.04%"
